,Title,Year,Rated,Released,Primary_Genre,Genre,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,BoxOffice,Metascore,imdbRating,imdbVotes,Type,popularity,vote_average,vote_count,trakt_vote_average,trakt_vote_count,Actor1,Actor2,Actor3,RottenTomatoesRating,MetacriticRating,Oscar Wins,Oscar Nominations,BAFTA Wins,Primetime Emmy Wins,Overall Wins,Overall Nominations
0,Venom: The Last Dance,2024,PG-13,25 Oct 2024,Action,"Action, Adventure, Sci-Fi",110.0,Kelly Marcel,"Kelly Marcel, Tom Hardy, Todd McFarlane","Tom Hardy, Chiwetel Ejiofor, Juno Temple",Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,English,"United States, United Kingdom, Canada",2 nominations total,139688083.0,41.0,6.0,68553,movie,9486.301,6.8,1587,6.9672,9511.0,Tom Hardy, Chiwetel Ejiofor, Juno Temple,41%,41/100,0,0,0,0,0,0
1,Moana 2,2024,PG,27 Nov 2024,Animation,"Animation, Adventure, Comedy",100.0,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Jared Bush, Dana Ledoux Miller, Bek Smith","Auli'i Cravalho, Dwayne Johnson, Hualalai Chung","After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",English,"United States, Canada",1 win & 12 nominations total,382705425.0,58.0,6.9,48560,movie,3980.558,6.938,505,7.27571,2227.0,Auli'i Cravalho, Dwayne Johnson, Hualalai Chung,61%,58/100,0,0,0,0,1,12
2,Red One,2024,PG-13,15 Nov 2024,Action,"Action, Adventure, Comedy",123.0,Jake Kasdan,"Chris Morgan, Hiram Garcia","Dwayne Johnson, Chris Evans, Lucy Liu","After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.",English,"United States, Canada",2 nominations total,96894014.0,34.0,6.4,118483,movie,3379.818,6.944,762,7.04424,9087.0,Dwayne Johnson, Chris Evans, Lucy Liu,30%,34/100,0,0,0,0,0,0
3,Elevation,2024,R,26 Nov 2024,Action,"Action, Sci-Fi, Thriller",91.0,George Nolfi,"John Glenn, Jacob Roman, Kenny Ryan","Anthony Mackie, Morena Baccarin, Maddie Hasson",A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,English,United States,None,2321801.0,49.0,5.6,7425,movie,2167.591,6.5,163,0.0,0.0,Anthony Mackie, Morena Baccarin, Maddie Hasson,53%,49/100,0,0,0,0,0,0
4,Absolution,2024,R,01 Nov 2024,Action,"Action, Crime, Mystery",112.0,Hans Petter Moland,Tony Gayton,"Liam Neeson, Daniel Diemer, Javier Molina","An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly.",English,United States,None,2716343.0,51.0,5.2,4039,movie,1732.435,6.1,133,6.25,20.0,Liam Neeson, Daniel Diemer, Javier Molina,53%,51/100,0,0,0,0,0,0
5,Heretic,2024,R,08 Nov 2024,Horror,"Horror, Thriller",111.0,"Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East",Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,English,"United States, Canada",17 nominations total,27791987.0,71.0,7.1,49905,movie,1511.671,7.175,345,7.2119,5276.0,Hugh Grant, Sophie Thatcher, Chloe East,91%,71/100,0,0,0,0,0,0
6,That Christmas,2024,PG,04 Dec 2024,Animation,"Animation, Adventure, Comedy",91.0,Simon Otto,"Richard Curtis, Peter Souter, Andrew Dawson","Bill Nighy, Brian Cox, Guz Khan","It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans, including Santa's.",English,United Kingdom,7 nominations total,0.0,60.0,6.8,11685,movie,1480.413,7.5,133,7.29862,1527.0,Bill Nighy, Brian Cox, Guz Khan,66%,60/100,0,0,0,0,0,0
7,Armor,2024,R,22 Nov 2024,Action,"Action, Crime, Drama",89.0,Justin Routt,"Cory Todd Hughes, Adrian Speckert","Sylvester Stallone, Josh Wiggins, Dash Mihok",A father and son working as security guards for an armored truck company encounter a team of would-be robbers while on a bridge. They become trapped and must come up with a plan to escape and ensure their survival.,English,United States,None,0.0,,3.5,2406,movie,1356.595,5.4,73,6.03978,1785.0,Sylvester Stallone, Josh Wiggins, Dash Mihok,0%,,0,0,0,0,0,0
8,Watchmen: Chapter II,2024,R,26 Nov 2024,Animation,"Animation, Action, Drama",90.0,"Vinton Heuck, Brandon Vietti","Dave Gibbons, Alan Moore, J. Michael Straczynski","Troy Baker, Adrienne Barbeau, Michael Cerveris","In an alternate 1985 America, a group of retired superheroes investigate a conspiracy after one of their own is murdered.",English,United States,None,0.0,,7.0,1659,movie,1226.19,7.6,49,7.22993,461.0,Troy Baker, Adrienne Barbeau, Michael Cerveris,,,0,0,0,0,0,0
9,Weekend in Taipei,2024,R,08 Nov 2024,Action,"Action, Thriller",100.0,George Huang,"Luc Besson, George Huang","Luke Evans, Lun-Mei Gwei, Sung Kang","A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.","English, Mandarin","France, Taiwan, United States",None,608034.0,,5.7,2733,movie,1206.516,6.2,73,6.87742,930.0,Luke Evans, Lun-Mei Gwei, Sung Kang,52%,,0,0,0,0,0,0
